actual_stock_positive,arm,callbacks,cash_excess,cash_false_positive,cash_sale_lower,loose_excess,loose_false_positive,loose_sale_lower,opponent,product,sale_units,seat,seed,strictly_tighter
35,bank,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,0,1304,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,0,1304,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,0,1304,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,0,1304,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,0,1304,0
0,visible,719,0,0,0,0,0,0,market10,CARROT,0,0,1304,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,0,1304,0
35,visible,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,0,1304,0
57,visible,719,25648,409,125,32304,409,94,market10,MELON,186,0,1304,236
0,visible,719,0,0,0,0,0,0,market10,EGG,0,0,1304,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,0,1304,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,0,1304,0
0,history,719,0,0,0,0,0,0,market10,CARROT,0,0,1304,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,0,1304,0
35,history,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,0,1304,0
57,history,719,29733,409,115,37034,409,80,market10,MELON,186,0,1304,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,0,1304,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,0,1304,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,0,1304,0
0,cash,719,0,0,0,0,0,0,market10,CARROT,0,0,1304,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,0,1304,0
35,cash,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,0,1304,0
57,cash,719,29733,409,115,37034,409,80,market10,MELON,186,0,1304,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,0,1304,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,0,1304,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,0,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1304,0
37,bank,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,1,1304,0
59,bank,719,35665,407,84,38240,407,72,relationship101,MELON,180,1,1304,429
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,1,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,1,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1304,0
37,visible,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,1,1304,0
59,visible,719,30076,407,98,30932,407,94,relationship101,MELON,180,1,1304,214
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,1,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,1,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1304,0
0,history,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1304,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1304,0
37,history,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,1,1304,0
59,history,719,35451,407,85,38240,407,72,relationship101,MELON,180,1,1304,429
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,1,1304,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,1,1304,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1304,0
37,cash,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,1,1304,0
59,cash,719,35451,407,85,38240,407,72,relationship101,MELON,180,1,1304,429
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,1,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,1,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1304,0
0,bank,719,0,0,0,0,0,0,market10,CARROT,0,1,1304,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,1,1304,0
35,bank,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,1,1304,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,1,1304,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,1,1304,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,1,1304,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,1,1304,0
0,visible,719,0,0,0,0,0,0,market10,CARROT,0,1,1304,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,1,1304,0
35,visible,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,1,1304,0
57,visible,719,25648,409,125,32304,409,94,market10,MELON,186,1,1304,236
0,visible,719,0,0,0,0,0,0,market10,EGG,0,1,1304,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,1,1304,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,1,1304,0
0,history,719,0,0,0,0,0,0,market10,CARROT,0,1,1304,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,1,1304,0
35,history,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,1,1304,0
57,history,719,29733,409,115,37034,409,80,market10,MELON,186,1,1304,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,1,1304,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,1,1304,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,1,1304,0
0,cash,719,0,0,0,0,0,0,market10,CARROT,0,1,1304,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,1,1304,0
35,cash,719,2447,132,72,2447,132,72,market10,STRAWBERRY,72,1,1304,0
57,cash,719,29733,409,115,37034,409,80,market10,MELON,186,1,1304,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,1,1304,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,1,1304,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,1,1304,0
